Time,Dataset,TypeDataset,IR,Repetition,SmoteMin,SmoteMax,Filter,Classifier,Tr_crIns,Tr_crIns%,Tr_incrIns,Tr_incrIns%,Tr_Kappa,Tr_meanAbs,Tr_rootMeanSq,Tr_relAbs,Tr_rootRelSq,Tr_NumIns,Tr_WA_TP,Tr_WA_FP,Tr_WA_Acc,Tr_WA_Recall,Tr_WA_F_M,Tr_WA_MCC,Tr_WA_ROC,Tr_WA_PRC,Te_crIns,Te_crIns%,Te_incrIns,Te_incrIns%,Te_Kappa,Te_meanAbs,Te_rootMeanSq,Te_relAbs,Te_rootRelSq,Te_NumIns,Te_WA_TP,Te_WA_FP,Te_WA_Acc,Te_WA_Recall,Te_WA_F_M,Te_WA_MCC,Te_WA_ROC,Te_WA_PRC,carToRetainWithClass
2022-6-16/12:56:59,nomao,regular,3,1,0,0,None,IB1,22975,100,1,0,1,0,0.01,0.03,1.31,22976,1,0,1,1,1,1,1,1,10744,93.52,744,6.48,0.84,0.06,0.25,15.85,56.11,11488,0.94,0.09,0.94,0.94,0.94,0.84,0.93,0.91,119
2022-6-16/13:0:7,nomao,regular,3,1,0,0,None,SVM,21123,91.94,1853,8.06,0.8,0.08,0.28,19.84,63,22976,0.92,0.11,0.92,0.92,0.92,0.8,0.91,0.89,10539,91.74,949,8.26,0.8,0.08,0.29,20.2,63.37,11488,0.92,0.11,0.92,0.92,0.92,0.8,0.91,0.89,119
2022-6-16/13:1:4,nomao,regular,3,1,0,0,CFS,IB1,22477,97.83,499,2.17,0.95,0.03,0.13,7.69,27.72,22976,0.98,0.03,0.98,0.98,0.98,0.95,1,1,10700,93.14,788,6.86,0.83,0.08,0.25,19.27,55.36,11488,0.93,0.11,0.93,0.93,0.93,0.83,0.95,0.95,10
2022-6-16/13:1:27,nomao,regular,3,1,0,0,CFS,SVM,20216,87.99,2760,12.01,0.71,0.12,0.35,29.55,76.88,22976,0.88,0.15,0.88,0.88,0.88,0.71,0.87,0.85,10065,87.61,1423,12.39,0.71,0.12,0.35,30.29,77.6,11488,0.88,0.15,0.88,0.88,0.88,0.71,0.86,0.84,10
2022-6-16/13:5:5,nomao,regular,3,1,0,RUS,None,IB1,13037,99.99,1,0.01,1,0,0.01,0.03,1.24,13038,1,0,1,1,1,1,1,1,10515,91.53,973,8.47,0.8,0.08,0.29,16.93,58.16,11488,0.92,0.08,0.92,0.92,0.92,0.81,0.92,0.9,119
2022-6-16/13:6:6,nomao,regular,3,1,0,RUS,None,SVM,11959,91.72,1079,8.28,0.83,0.08,0.29,16.55,57.54,13038,0.92,0.08,0.92,0.92,0.92,0.83,0.92,0.88,10446,90.93,1042,9.07,0.79,0.09,0.3,18.14,60.23,11488,0.91,0.08,0.92,0.91,0.91,0.79,0.91,0.89,119
2022-6-16/13:6:39,nomao,regular,3,1,0,RUS,CFS,IB1,12736,97.68,302,2.32,0.95,0.03,0.13,6.52,25.51,13038,0.98,0.02,0.98,0.98,0.98,0.95,1,1,10498,91.38,990,8.62,0.8,0.09,0.28,18.48,55.18,11488,0.91,0.08,0.92,0.91,0.92,0.8,0.94,0.93,10
2022-6-16/13:6:43,nomao,regular,3,1,0,RUS,CFS,SVM,11299,86.66,1739,13.34,0.73,0.13,0.37,26.68,73.04,13038,0.87,0.13,0.87,0.87,0.87,0.73,0.87,0.82,10073,87.68,1415,12.32,0.71,0.12,0.35,24.63,70.19,11488,0.88,0.15,0.88,0.88,0.88,0.71,0.86,0.84,10
2022-6-16/13:12:22,nomao,regular,3,1,Auto,RUS2,None,IB1,19555,99.99,1,0.01,1,0,0.01,0.03,1.36,19556,1,0,1,1,1,1,1,1,10707,93.2,781,6.8,0.84,0.07,0.26,15.83,57.23,11488,0.93,0.08,0.93,0.93,0.93,0.84,0.93,0.91,119
2022-6-16/13:14:37,nomao,regular,3,1,Auto,RUS2,None,SVM,17944,91.76,1612,8.24,0.82,0.08,0.29,18.55,60.9,19556,0.92,0.1,0.92,0.92,0.92,0.82,0.91,0.89,10529,91.65,959,8.35,0.8,0.08,0.29,19.42,63.41,11488,0.92,0.1,0.92,0.92,0.92,0.8,0.91,0.89,119
2022-6-16/13:15:26,nomao,regular,3,1,Auto,RUS2,CFS,IB1,19167,98.01,389,1.99,0.96,0.03,0.12,6.31,25.11,19556,0.98,0.03,0.98,0.98,0.98,0.95,1,1,10650,92.71,838,7.29,0.82,0.08,0.26,18.66,56.46,11488,0.93,0.1,0.93,0.93,0.93,0.82,0.94,0.94,10
2022-6-16/13:15:40,nomao,regular,3,1,Auto,RUS2,CFS,SVM,17136,87.63,2420,12.37,0.72,0.12,0.35,27.84,74.62,19556,0.88,0.14,0.88,0.88,0.88,0.72,0.87,0.83,10069,87.65,1419,12.35,0.71,0.12,0.35,28.74,77.14,11488,0.88,0.15,0.88,0.88,0.88,0.71,0.86,0.84,10
2022-6-16/13:28:30,nomao,regular,3,1,100,0,None,IB1,29494,100,1,0,1,0,0.01,0.02,1.05,29495,1,0,1,1,1,1,1,1,10744,93.52,744,6.48,0.84,0.06,0.25,13.63,53.19,11488,0.94,0.08,0.94,0.94,0.94,0.84,0.93,0.91,119
2022-6-16/13:33:52,nomao,regular,3,1,100,0,None,SVM,27100,91.88,2395,8.12,0.84,0.08,0.28,16.46,57.38,29495,0.92,0.08,0.92,0.92,0.92,0.84,0.92,0.89,10497,91.37,991,8.63,0.8,0.09,0.29,18.14,61.38,11488,0.91,0.09,0.92,0.91,0.92,0.8,0.91,0.89,119
2022-6-16/13:35:12,nomao,regular,3,1,100,0,CFS,IB1,29242,99.14,253,0.86,0.98,0.01,0.08,2.38,15.4,29495,0.99,0.01,0.99,0.99,0.99,0.98,1,1,10791,93.93,697,6.07,0.85,0.06,0.24,13.39,50,11488,0.94,0.08,0.94,0.94,0.94,0.85,0.96,0.95,11
2022-6-16/13:35:55,nomao,regular,3,1,100,0,CFS,SVM,25592,86.77,3903,13.23,0.73,0.13,0.36,26.83,73.25,29495,0.87,0.14,0.87,0.87,0.87,0.73,0.86,0.82,10069,87.65,1419,12.35,0.71,0.12,0.35,25.97,73.45,11488,0.88,0.15,0.88,0.88,0.88,0.71,0.86,0.84,11
2022-6-16/13:47:23,nomao,regular,3,1,100,RUS,None,IB1,26074,100,1,0,1,0,0.01,0.02,1.11,26075,1,0,1,1,1,1,1,1,10700,93.14,788,6.86,0.84,0.07,0.26,13.73,52.38,11488,0.93,0.08,0.93,0.93,0.93,0.84,0.93,0.91,119
2022-6-16/13:51:52,nomao,regular,3,1,100,RUS,None,SVM,23977,91.95,2098,8.05,0.84,0.08,0.28,16.09,56.73,26075,0.92,0.08,0.92,0.92,0.92,0.84,0.92,0.89,10454,91,1034,9,0.79,0.09,0.3,18,60,11488,0.91,0.09,0.92,0.91,0.91,0.79,0.91,0.89,119
2022-6-16/13:53:1,nomao,regular,3,1,100,RUS,CFS,IB1,25849,99.13,226,0.87,0.98,0.01,0.08,2.31,15.18,26075,0.99,0.01,0.99,0.99,0.99,0.98,1,1,10776,93.8,712,6.2,0.85,0.06,0.24,12.98,48.45,11488,0.94,0.08,0.94,0.94,0.94,0.85,0.96,0.94,11
2022-6-16/13:53:41,nomao,regular,3,1,100,RUS,CFS,SVM,22514,86.34,3561,13.66,0.73,0.14,0.37,27.31,73.91,26075,0.86,0.14,0.86,0.86,0.86,0.73,0.86,0.81,10069,87.65,1419,12.35,0.71,0.12,0.35,24.7,70.29,11488,0.88,0.15,0.88,0.88,0.88,0.71,0.86,0.84,11
2022-6-16/14:28:50,nomao,regular,3,1,100,40,None,IB1,36077,100,1,0,1,0,0,0.02,1.01,36078,1,0,1,1,1,1,1,1,10737,93.46,751,6.54,0.84,0.07,0.26,14.81,55.68,11488,0.94,0.09,0.94,0.94,0.94,0.84,0.93,0.91,119
2022-6-16/14:36:8,nomao,regular,3,1,100,40,None,SVM,33227,92.1,2851,7.9,0.83,0.08,0.28,17.12,58.52,36078,0.92,0.09,0.92,0.92,0.92,0.83,0.92,0.89,10509,91.48,979,8.52,0.8,0.09,0.29,19.3,63.58,11488,0.92,0.1,0.92,0.92,0.92,0.8,0.91,0.89,119
2022-6-16/14:38:8,nomao,regular,3,1,100,40,CFS,IB1,35899,99.5,179,0.5,0.99,0.01,0.06,1.53,12.37,36078,1,0.01,1,1,1,0.99,1,1,10813,94.12,675,5.88,0.86,0.06,0.24,13.82,51.89,11488,0.94,0.09,0.94,0.94,0.94,0.86,0.95,0.94,13
2022-6-16/14:40:40,nomao,regular,3,1,100,40,CFS,SVM,31840,88.25,4238,11.75,0.75,0.12,0.34,25.45,71.34,36078,0.88,0.13,0.88,0.88,0.88,0.75,0.88,0.84,10080,87.74,1408,12.26,0.71,0.12,0.35,27.75,76.24,11488,0.88,0.15,0.88,0.88,0.88,0.71,0.86,0.84,13
2022-6-16/14:52:5,nomao,regular,2,2,0,0,None,IB1,22975,100,1,0,1,0,0,0.02,1.03,22976,1,0,1,1,1,1,1,1,10777,93.81,711,6.19,0.85,0.06,0.25,15.2,55.28,11488,0.94,0.09,0.94,0.94,0.94,0.85,0.93,0.92,119
2022-6-16/14:54:55,nomao,regular,2,2,0,0,None,SVM,21152,92.06,1824,7.94,0.81,0.08,0.28,19.38,62.26,22976,0.92,0.1,0.92,0.92,0.92,0.81,0.91,0.89,10529,91.65,959,8.35,0.8,0.08,0.29,20.49,64.21,11488,0.92,0.11,0.92,0.92,0.92,0.8,0.91,0.89,119
2022-6-16/14:55:52,nomao,regular,2,2,0,0,CFS,IB1,22455,97.73,521,2.27,0.94,0.03,0.13,7.94,28.17,22976,0.98,0.03,0.98,0.98,0.98,0.94,1,1,10767,93.72,721,6.28,0.84,0.07,0.24,17.75,52.75,11488,0.94,0.09,0.94,0.94,0.94,0.84,0.96,0.96,10
2022-6-16/14:55:58,nomao,regular,2,2,0,0,CFS,SVM,20226,88.03,2750,11.97,0.71,0.12,0.35,29.22,76.44,22976,0.88,0.15,0.88,0.88,0.88,0.72,0.87,0.84,10054,87.52,1434,12.48,0.7,0.12,0.35,30.65,78.52,11488,0.88,0.15,0.88,0.88,0.88,0.7,0.86,0.84,10
2022-6-16/14:59:40,nomao,regular,2,2,0,RUS,None,IB1,13209,99.99,1,0.01,1,0,0.01,0.03,1.23,13210,1,0,1,1,1,1,1,1,10533,91.69,955,8.31,0.8,0.08,0.29,16.64,57.66,11488,0.92,0.07,0.93,0.92,0.92,0.81,0.92,0.9,119
2022-6-16/15:0:35,nomao,regular,2,2,0,RUS,None,SVM,12109,91.67,1101,8.33,0.83,0.08,0.29,16.67,57.74,13210,0.92,0.08,0.92,0.92,0.92,0.83,0.92,0.88,10449,90.96,1039,9.04,0.79,0.09,0.3,18.09,60.15,11488,0.91,0.08,0.92,0.91,0.91,0.8,0.92,0.89,119
2022-6-16/15:1:8,nomao,regular,2,2,0,RUS,CFS,IB1,13137,99.45,73,0.55,0.99,0.01,0.06,1.51,12.25,13210,0.99,0.01,0.99,0.99,0.99,0.99,1,1,10413,90.64,1075,9.36,0.78,0.09,0.3,18.58,59.86,11488,0.91,0.09,0.91,0.91,0.91,0.78,0.93,0.91,12
2022-6-16/15:1:14,nomao,regular,2,2,0,RUS,CFS,SVM,11722,88.74,1488,11.26,0.77,0.11,0.34,22.53,67.12,13210,0.89,0.11,0.89,0.89,0.89,0.78,0.89,0.84,10148,88.34,1340,11.66,0.73,0.12,0.34,23.33,68.31,11488,0.88,0.12,0.89,0.88,0.89,0.73,0.88,0.86,12
2022-6-16/15:6:57,nomao,regular,2,2,Auto,RUS2,None,IB1,19813,100,1,0.01,1,0,0.01,0.02,1.07,19814,1,0,1,1,1,1,1,1,10759,93.65,729,6.35,0.85,0.06,0.25,14.86,55.62,11488,0.94,0.08,0.94,0.94,0.94,0.85,0.93,0.92,119
2022-6-16/15:9:7,nomao,regular,2,2,Auto,RUS2,None,SVM,18221,91.96,1593,8.04,0.82,0.08,0.28,18.09,60.15,19814,0.92,0.09,0.92,0.92,0.92,0.82,0.91,0.89,10504,91.43,984,8.57,0.79,0.09,0.29,20.04,64.62,11488,0.91,0.1,0.92,0.91,0.92,0.8,0.91,0.89,119
2022-6-16/15:9:55,nomao,regular,2,2,Auto,RUS2,CFS,IB1,19351,97.66,463,2.34,0.95,0.03,0.13,7.42,27.24,19814,0.98,0.03,0.98,0.98,0.98,0.95,1,1,10743,93.52,745,6.49,0.84,0.07,0.24,17.29,53.29,11488,0.94,0.09,0.94,0.94,0.94,0.84,0.96,0.95,10
2022-6-16/15:10:2,nomao,regular,2,2,Auto,RUS2,CFS,SVM,17388,87.76,2426,12.24,0.73,0.12,0.35,27.55,74.23,19814,0.88,0.14,0.88,0.88,0.88,0.73,0.87,0.84,10054,87.52,1434,12.48,0.7,0.12,0.35,29.21,78.01,11488,0.88,0.15,0.88,0.88,0.88,0.7,0.86,0.84,10
2022-6-16/15:23:21,nomao,regular,2,2,100,0,None,IB1,29580,100,1,0,1,0,0,0.01,0.83,29581,1,0,1,1,1,1,1,1,10766,93.72,722,6.28,0.85,0.06,0.25,13.19,52.32,11488,0.94,0.09,0.94,0.94,0.94,0.85,0.93,0.92,119
2022-6-16/15:27:56,nomao,regular,2,2,100,0,None,SVM,27159,91.81,2422,8.19,0.83,0.08,0.29,16.56,57.56,29581,0.92,0.08,0.92,0.92,0.92,0.83,0.92,0.89,10498,91.38,990,8.62,0.8,0.09,0.29,18.08,61.27,11488,0.91,0.08,0.92,0.91,0.92,0.8,0.92,0.89,119
2022-6-16/15:29:17,nomao,regular,2,2,100,0,CFS,IB1,29382,99.33,199,0.67,0.99,0.01,0.07,1.96,13.98,29581,0.99,0.01,0.99,0.99,0.99,0.99,1,1,10772,93.77,716,6.23,0.85,0.07,0.25,13.71,51.25,11488,0.94,0.09,0.94,0.94,0.94,0.85,0.95,0.94,11
2022-6-16/15:29:37,nomao,regular,2,2,100,0,CFS,SVM,25693,86.86,3888,13.14,0.73,0.13,0.36,26.59,72.93,29581,0.87,0.14,0.87,0.87,0.87,0.73,0.86,0.82,10054,87.52,1434,12.48,0.7,0.12,0.35,26.19,73.74,11488,0.88,0.15,0.88,0.88,0.88,0.7,0.86,0.84,11
2022-6-16/15:41:17,nomao,regular,2,2,100,RUS,None,IB1,26418,100,1,0,1,0,0,0.01,0.87,26419,1,0,1,1,1,1,1,1,10744,93.52,744,6.48,0.84,0.06,0.25,12.96,50.89,11488,0.94,0.08,0.94,0.94,0.94,0.84,0.93,0.92,119
2022-6-16/15:45:26,nomao,regular,2,2,100,RUS,None,SVM,24309,92.01,2110,7.99,0.84,0.08,0.28,15.97,56.52,26419,0.92,0.08,0.92,0.92,0.92,0.84,0.92,0.89,10459,91.04,1029,8.96,0.79,0.09,0.3,17.91,59.86,11488,0.91,0.08,0.92,0.91,0.91,0.8,0.92,0.89,119
2022-6-16/15:46:34,nomao,regular,2,2,100,RUS,CFS,IB1,26247,99.35,172,0.65,0.99,0.01,0.07,1.86,13.63,26419,0.99,0.01,0.99,0.99,0.99,0.99,1,1,10736,93.45,752,6.55,0.84,0.07,0.25,13.65,50.29,11488,0.94,0.08,0.94,0.94,0.94,0.84,0.95,0.94,11
2022-6-16/15:47:2,nomao,regular,2,2,100,RUS,CFS,SVM,23037,87.2,3382,12.8,0.74,0.13,0.36,25.6,71.56,26419,0.87,0.13,0.87,0.87,0.87,0.75,0.87,0.82,10028,87.29,1460,12.71,0.7,0.13,0.36,25.42,71.3,11488,0.87,0.15,0.88,0.87,0.88,0.7,0.86,0.84,11
2022-6-16/16:23:23,nomao,regular,2,2,100,40,None,IB1,36128,100,1,0,1,0,0,0.01,0.77,36129,1,0,1,1,1,1,1,1,10762,93.68,726,6.32,0.84,0.06,0.25,14.32,54.93,11488,0.94,0.09,0.94,0.94,0.94,0.84,0.93,0.91,119
2022-6-16/16:30:16,nomao,regular,2,2,100,40,None,SVM,33337,92.27,2792,7.73,0.83,0.08,0.28,16.66,57.72,36129,0.92,0.09,0.92,0.92,0.92,0.83,0.92,0.89,10527,91.63,961,8.37,0.8,0.08,0.29,18.95,63.2,11488,0.92,0.09,0.92,0.92,0.92,0.8,0.91,0.89,119
2022-6-16/16:32:18,nomao,regular,2,2,100,40,CFS,IB1,35960,99.53,169,0.47,0.99,0.01,0.06,1.49,12.17,36129,1,0.01,1,1,1,0.99,1,1,10798,93.99,690,6.01,0.85,0.06,0.24,14.08,52.7,11488,0.94,0.09,0.94,0.94,0.94,0.85,0.95,0.94,13
2022-6-16/16:33:60,nomao,regular,2,2,100,40,CFS,SVM,31899,88.29,4230,11.71,0.75,0.12,0.34,25.24,71.05,36129,0.88,0.13,0.88,0.88,0.88,0.75,0.88,0.84,10076,87.71,1412,12.29,0.71,0.12,0.35,27.85,76.6,11488,0.88,0.15,0.88,0.88,0.88,0.71,0.86,0.84,13
2022-6-16/16:45:17,nomao,regular,2,3,0,0,None,IB1,22975,100,1,0,1,0,0,0.02,1.03,22976,1,0,1,1,1,1,1,1,10750,93.58,738,6.42,0.84,0.06,0.25,15.78,56.33,11488,0.94,0.09,0.94,0.94,0.94,0.84,0.93,0.91,119
2022-6-16/16:48:1,nomao,regular,2,3,0,0,None,SVM,21088,91.78,1888,8.22,0.8,0.08,0.29,20.06,63.34,22976,0.92,0.11,0.92,0.92,0.92,0.8,0.9,0.89,10561,91.93,927,8.07,0.8,0.08,0.28,19.81,63.13,11488,0.92,0.11,0.92,0.92,0.92,0.8,0.9,0.89,119
2022-6-16/16:48:57,nomao,regular,2,3,0,0,CFS,IB1,22484,97.86,492,2.14,0.95,0.03,0.12,7.54,27.45,22976,0.98,0.03,0.98,0.98,0.98,0.95,1,1,10728,93.38,760,6.62,0.84,0.08,0.24,18.45,54.32,11488,0.93,0.11,0.93,0.93,0.93,0.83,0.96,0.95,10
2022-6-16/16:49:10,nomao,regular,2,3,0,0,CFS,SVM,20106,87.51,2870,12.49,0.7,0.12,0.35,30.49,78.09,22976,0.88,0.15,0.88,0.88,0.88,0.71,0.86,0.84,10176,88.58,1312,11.42,0.72,0.11,0.34,28.04,75.11,11488,0.89,0.15,0.89,0.89,0.89,0.72,0.87,0.85,10
2022-6-16/16:52:56,nomao,regular,2,3,0,RUS,None,IB1,13211,99.99,1,0.01,1,0,0.01,0.03,1.23,13212,1,0,1,1,1,1,1,1,10553,91.86,935,8.14,0.81,0.08,0.29,16.29,57.05,11488,0.92,0.08,0.92,0.92,0.92,0.81,0.92,0.9,119
2022-6-16/16:53:56,nomao,regular,2,3,0,RUS,None,SVM,12043,91.15,1169,8.85,0.82,0.09,0.3,17.7,59.49,13212,0.91,0.09,0.91,0.91,0.91,0.82,0.91,0.88,10487,91.29,1001,8.71,0.79,0.09,0.3,17.43,59.04,11488,0.91,0.08,0.92,0.91,0.92,0.8,0.92,0.89,119
2022-6-16/16:54:30,nomao,regular,2,3,0,RUS,CFS,IB1,12906,97.68,306,2.32,0.95,0.03,0.13,6.37,25.23,13212,0.98,0.02,0.98,0.98,0.98,0.95,1,1,10578,92.08,910,7.92,0.81,0.08,0.26,16.55,52.56,11488,0.92,0.07,0.93,0.92,0.92,0.82,0.95,0.94,11
2022-6-16/16:54:36,nomao,regular,2,3,0,RUS,CFS,SVM,11362,86,1850,14,0.72,0.14,0.37,28,74.84,13212,0.86,0.14,0.86,0.86,0.86,0.72,0.86,0.81,10174,88.56,1314,11.44,0.72,0.11,0.34,22.88,67.64,11488,0.89,0.15,0.89,0.89,0.89,0.72,0.87,0.85,11
2022-6-16/17:0:22,nomao,regular,2,3,Auto,RUS2,None,IB1,19816,100,1,0.01,1,0,0.01,0.02,1.07,19817,1,0,1,1,1,1,1,1,10731,93.41,757,6.59,0.84,0.07,0.26,15.43,56.68,11488,0.93,0.09,0.94,0.93,0.93,0.84,0.93,0.91,119
2022-6-16/17:2:36,nomao,regular,2,3,Auto,RUS2,None,SVM,18112,91.4,1705,8.6,0.81,0.09,0.29,19.36,62.22,19817,0.91,0.1,0.91,0.91,0.91,0.81,0.91,0.88,10553,91.86,935,8.14,0.8,0.08,0.29,19.05,63,11488,0.92,0.11,0.92,0.92,0.92,0.8,0.91,0.89,119
2022-6-16/17:3:29,nomao,regular,2,3,Auto,RUS2,CFS,IB1,19665,99.23,152,0.77,0.98,0.01,0.07,2.41,15.51,19817,0.99,0.01,0.99,0.99,0.99,0.98,1,1,10791,93.93,697,6.07,0.85,0.06,0.24,14.83,53.5,11488,0.94,0.08,0.94,0.94,0.94,0.85,0.95,0.94,13
2022-6-16/17:3:52,nomao,regular,2,3,Auto,RUS2,CFS,SVM,17275,87.17,2542,12.83,0.72,0.13,0.36,28.86,75.97,19817,0.87,0.15,0.87,0.87,0.87,0.72,0.86,0.83,10182,88.63,1306,11.37,0.73,0.11,0.34,26.61,74.46,11488,0.89,0.15,0.89,0.89,0.89,0.73,0.87,0.85,13
2022-6-16/17:17:24,nomao,regular,2,3,100,0,None,IB1,29581,100,1,0,1,0,0,0.01,0.83,29582,1,0,1,1,1,1,1,1,10754,93.61,734,6.39,0.84,0.06,0.25,13.41,52.75,11488,0.94,0.09,0.94,0.94,0.94,0.84,0.93,0.91,119
2022-6-16/17:22:24,nomao,regular,2,3,100,0,None,SVM,27135,91.73,2447,8.27,0.83,0.08,0.29,16.73,57.85,29582,0.92,0.08,0.92,0.92,0.92,0.83,0.92,0.88,10522,91.59,966,8.41,0.8,0.08,0.29,17.64,60.52,11488,0.92,0.09,0.92,0.92,0.92,0.8,0.91,0.89,119
2022-6-16/17:23:43,nomao,regular,2,3,100,0,CFS,IB1,29376,99.3,206,0.7,0.99,0.01,0.07,1.96,13.98,29582,0.99,0.01,0.99,0.99,0.99,0.99,1,1,10656,92.76,832,7.24,0.82,0.08,0.26,15.75,55.23,11488,0.93,0.1,0.93,0.93,0.93,0.82,0.94,0.93,11
2022-6-16/17:24:6,nomao,regular,2,3,100,0,CFS,SVM,25643,86.68,3939,13.32,0.73,0.13,0.36,26.94,73.4,29582,0.87,0.14,0.87,0.87,0.87,0.73,0.86,0.82,10177,88.59,1311,11.41,0.72,0.11,0.34,23.94,70.51,11488,0.89,0.14,0.89,0.89,0.89,0.72,0.87,0.85,11
2022-6-16/17:36:32,nomao,regular,2,3,100,RUS,None,IB1,26422,100,1,0,1,0,0,0.01,0.87,26423,1,0,1,1,1,1,1,1,10729,93.39,759,6.61,0.84,0.07,0.26,13.22,51.41,11488,0.93,0.08,0.94,0.93,0.93,0.84,0.93,0.91,119
2022-6-16/17:40:37,nomao,regular,2,3,100,RUS,None,SVM,24207,91.61,2216,8.39,0.83,0.08,0.29,16.77,57.92,26423,0.92,0.08,0.92,0.92,0.92,0.83,0.92,0.88,10494,91.35,994,8.65,0.8,0.09,0.29,17.3,58.83,11488,0.91,0.08,0.92,0.91,0.92,0.8,0.92,0.89,119
2022-6-16/17:41:44,nomao,regular,2,3,100,RUS,CFS,IB1,26240,99.31,183,0.69,0.99,0.01,0.07,1.9,13.77,26423,0.99,0.01,0.99,0.99,0.99,0.99,1,1,10648,92.69,840,7.31,0.82,0.08,0.27,15.16,53.3,11488,0.93,0.1,0.93,0.93,0.93,0.82,0.94,0.93,11
2022-6-16/17:42:13,nomao,regular,2,3,100,RUS,CFS,SVM,22806,86.31,3617,13.69,0.73,0.14,0.37,27.38,74,26423,0.86,0.14,0.86,0.86,0.86,0.73,0.86,0.81,10175,88.57,1313,11.43,0.72,0.11,0.34,22.86,67.61,11488,0.89,0.14,0.89,0.89,0.89,0.72,0.87,0.85,11
2022-6-16/18:17:28,nomao,regular,2,3,100,40,None,IB1,36129,100,1,0,1,0,0,0.01,0.77,36130,1,0,1,1,1,1,1,1,10752,93.59,736,6.41,0.84,0.06,0.25,14.52,55.31,11488,0.94,0.09,0.94,0.94,0.94,0.84,0.93,0.91,119
2022-6-16/18:24:27,nomao,regular,2,3,100,40,None,SVM,33256,92.05,2874,7.95,0.83,0.08,0.28,17.15,58.56,36130,0.92,0.09,0.92,0.92,0.92,0.83,0.92,0.89,10587,92.16,901,7.84,0.81,0.08,0.28,17.77,61.19,11488,0.92,0.1,0.92,0.92,0.92,0.81,0.91,0.9,119
2022-6-16/18:26:26,nomao,regular,2,3,100,40,CFS,IB1,35943,99.48,187,0.52,0.99,0.01,0.06,1.57,12.52,36130,1,0.01,1,1,1,0.99,1,1,10824,94.22,664,5.78,0.86,0.06,0.24,13.67,51.75,11488,0.94,0.09,0.94,0.94,0.94,0.86,0.95,0.94,13
2022-6-16/18:27:43,nomao,regular,2,3,100,40,CFS,SVM,31748,87.87,4382,12.13,0.74,0.12,0.35,26.14,72.31,36130,0.88,0.13,0.88,0.88,0.88,0.74,0.87,0.84,10191,88.71,1297,11.29,0.73,0.11,0.34,25.58,73.42,11488,0.89,0.14,0.89,0.89,0.89,0.73,0.87,0.85,13
2022-6-16/18:39:2,nomao,regular,2,4,0,0,None,IB1,22975,100,1,0,1,0,0.01,0.03,1.33,22976,1,0,1,1,1,1,1,1,10747,93.55,741,6.45,0.84,0.06,0.25,15.85,56.45,11488,0.94,0.1,0.94,0.94,0.94,0.84,0.92,0.91,119
2022-6-16/18:41:37,nomao,regular,2,4,0,0,None,SVM,21152,92.06,1824,7.94,0.81,0.08,0.28,19.37,62.25,22976,0.92,0.1,0.92,0.92,0.92,0.81,0.91,0.89,10549,91.83,939,8.17,0.8,0.08,0.29,20.07,63.55,11488,0.92,0.11,0.92,0.92,0.92,0.8,0.9,0.89,119
2022-6-16/18:42:34,nomao,regular,2,4,0,0,CFS,IB1,22517,98,459,2,0.95,0.03,0.12,7.13,26.7,22976,0.98,0.03,0.98,0.98,0.98,0.95,1,1,10646,92.67,842,7.33,0.82,0.08,0.26,20.23,57.71,11488,0.93,0.12,0.93,0.93,0.93,0.82,0.95,0.94,10
2022-6-16/18:42:43,nomao,regular,2,4,0,0,CFS,SVM,20204,87.94,2772,12.06,0.71,0.12,0.35,29.44,76.74,22976,0.88,0.14,0.88,0.88,0.88,0.71,0.87,0.84,10085,87.79,1403,12.21,0.71,0.12,0.35,29.99,77.68,11488,0.88,0.15,0.88,0.88,0.88,0.71,0.86,0.84,10
2022-6-16/18:46:26,nomao,regular,2,4,0,RUS,None,IB1,13215,99.99,1,0.01,1,0,0.01,0.03,1.42,13216,1,0,1,1,1,1,1,1,10468,91.12,1020,8.88,0.79,0.09,0.3,17.78,59.59,11488,0.91,0.08,0.92,0.91,0.91,0.8,0.92,0.89,119
2022-6-16/18:47:23,nomao,regular,2,4,0,RUS,None,SVM,12148,91.92,1068,8.08,0.84,0.08,0.28,16.16,56.85,13216,0.92,0.08,0.92,0.92,0.92,0.84,0.92,0.89,10448,90.95,1040,9.05,0.79,0.09,0.3,18.11,60.18,11488,0.91,0.09,0.92,0.91,0.91,0.79,0.91,0.89,119
2022-6-16/18:47:55,nomao,regular,2,4,0,RUS,CFS,IB1,13128,99.33,88,0.67,0.99,0.01,0.07,1.81,13.41,13216,0.99,0.01,0.99,0.99,0.99,0.99,1,1,10340,90.01,1148,9.99,0.76,0.1,0.31,19.97,61.74,11488,0.9,0.1,0.91,0.9,0.9,0.77,0.92,0.9,11
2022-6-16/18:47:58,nomao,regular,2,4,0,RUS,CFS,SVM,11477,86.84,1739,13.16,0.74,0.13,0.36,26.32,72.55,13216,0.87,0.13,0.87,0.87,0.87,0.74,0.87,0.82,10075,87.7,1413,12.3,0.7,0.12,0.35,24.6,70.14,11488,0.88,0.15,0.88,0.88,0.88,0.71,0.86,0.84,11
2022-6-16/18:53:41,nomao,regular,2,4,Auto,RUS2,None,IB1,19822,100,1,0.01,1,0,0.01,0.03,1.38,19823,1,0,1,1,1,1,1,1,10722,93.33,766,6.67,0.84,0.07,0.26,15.62,57.03,11488,0.93,0.09,0.93,0.93,0.93,0.84,0.92,0.91,119
