Time,Dataset,Repetition,SmoteMin,SmoteMax,RUS,Filter,Classifier,Tr_crIns,Tr_crIns%,Tr_incrIns,Tr_incrIns%,Tr_Kappa,Tr_meanAbs,Tr_rootMeanSq,Tr_relAbs,Tr_rootRelSq,Tr_NumIns,Tr_WA_TP,Tr_WA_FP,Tr_WA_Acc,Tr_WA_Recall,Tr_WA_F_M,Tr_WA_MCC,Tr_WA_ROC,Tr_WA_PRC,Te_crIns,Te_crIns%,Te_incrIns,Te_incrIns%,Te_Kappa,Te_meanAbs,Te_rootMeanSq,Te_relAbs,Te_rootRelSq,Te_NumIns,Te_WA_TP,Te_WA_FP,Te_WA_Acc,Te_WA_Recall,Te_WA_F_M,Te_WA_MCC,Te_WA_ROC,Te_WA_PRC,carToRetainWithClass
2020-9-29/11:36:50,brain_tumor1,1,Auto,0,0,CFS,C4.5,94,98.95,1,1.05,0.98,0.01,0.06,3.18,17.95,95,0.99,0.01,0.99,0.99,0.99,0.98,0.99,0.98,18,60,12,40,0.28,0.16,0.4,57.04,100.36,30,0.6,0.36,0.68,0.6,0.63,0.27,0.62,0.59,240
2020-9-29/11:36:53,brain_tumor1,1,Auto,0,0,CFS,IB1,95,100,0,0,1,0.02,0.02,6.2,5.6,95,1,0,1,1,1,1,1,1,27,90,3,10,0.82,0.05,0.2,18.79,49.5,30,0.9,0.06,NaN,0.9,NaN,NaN,0.92,0.87,240
2020-9-29/11:36:52,brain_tumor1,1,Auto,0,0,CFS,Naive-Bayes,95,100,0,0,1,0,0,0,0,95,1,0,1,1,1,1,1,1,29,96.67,1,3.33,0.94,0.01,0.12,4.64,29.17,30,0.97,0.06,NaN,0.97,NaN,NaN,0.97,0.97,240
2020-9-29/11:36:55,brain_tumor1,1,Auto,0,0,CFS,SVM,95,100,0,0,1,0.24,0.32,92.99,88.56,95,1,0,1,1,1,1,1,1,28,93.33,2,6.67,0.87,0.24,0.32,84.45,80.83,30,0.93,0.06,NaN,0.93,NaN,NaN,0.96,0.91,240
2020-9-29/11:24:15,brain_tumor1,1,Auto,0,0,None,C4.5,94,98.95,1,1.05,0.98,0.01,0.06,3.18,17.95,95,0.99,0.01,0.99,0.99,0.99,0.98,0.99,0.98,21,70,9,30,0.47,0.12,0.34,43.35,86.96,30,0.7,0.23,0.83,0.7,0.74,0.51,0.74,0.7,5921
2020-9-29/11:24:41,brain_tumor1,1,Auto,0,0,None,IB1,95,100,0,0,1,0.02,0.02,6.2,5.6,95,1,0,1,1,1,1,1,1,27,90,3,10,0.8,0.05,0.2,18.79,49.5,30,0.9,0.17,NaN,0.9,NaN,NaN,0.86,0.83,5921
2020-9-29/11:24:39,brain_tumor1,1,Auto,0,0,None,Naive-Bayes,95,100,0,0,1,0,0,0,0,95,1,0,1,1,1,1,1,1,27,90,3,10,0.8,0.04,0.2,13.92,50.52,30,0.9,0.17,NaN,0.9,NaN,NaN,0.86,0.83,5921
2020-9-29/11:25:12,brain_tumor1,1,Auto,0,0,None,SVM,95,100,0,0,1,0.24,0.32,92.99,88.47,95,1,0,1,1,1,1,1,1,28,93.33,2,6.67,0.87,0.24,0.32,84.45,80.93,30,0.93,0.12,NaN,0.93,NaN,NaN,0.93,0.91,5921
2020-10-6/15:17:8,brain_tumor1,1,Auto,0,1,CFS,C4.5,24,100,0,0,1,0,0,0,0,24,1,0,1,1,1,1,1,1,9,30,21,70,0.16,0.28,0.53,85.9,129.81,30,0.3,0.12,0.61,0.3,0.33,0.18,0.59,0.53,119
2020-10-6/15:17:10,brain_tumor1,1,Auto,0,1,CFS,IB1,24,100,0,0,1,0.06,0.07,17.27,17.26,24,1,0,1,1,1,1,1,1,25,83.33,5,16.67,0.72,0.11,0.24,33.85,60.05,30,0.83,0.02,0.88,0.83,0.85,0.77,0.91,0.83,119
2020-10-6/15:17:9,brain_tumor1,1,Auto,0,1,CFS,Naive-Bayes,24,100,0,0,1,0,0,0,0,24,1,0,1,1,1,1,1,1,21,70,9,30,0.56,0.12,0.35,36.81,84.98,30,0.7,0.04,0.86,0.7,0.73,0.62,0.92,0.83,119
2020-10-6/15:17:11,brain_tumor1,1,Auto,0,1,CFS,SVM,24,100,0,0,1,0.24,0.32,75.11,79.12,24,1,0,1,1,1,1,1,1,27,90,3,10,0.83,0.25,0.32,75.26,79.47,30,0.9,0.01,0.96,0.9,0.92,0.87,0.99,0.94,119
2020-10-6/15:11:18,brain_tumor1,1,Auto,0,1,None,C4.5,24,100,0,0,1,0,0,0,0,24,1,0,1,1,1,1,1,1,10,33.33,20,66.67,0.18,0.27,0.52,81.81,126.68,30,0.33,0.1,0.65,0.33,0.39,0.25,0.62,0.58,5921
2020-10-6/15:11:43,brain_tumor1,1,Auto,0,1,None,IB1,24,100,0,0,1,0.06,0.07,17.27,17.26,24,1,0,1,1,1,1,1,1,22,73.33,8,26.67,0.6,0.14,0.3,44.01,74.82,30,0.73,0.03,0.89,0.73,0.78,0.68,0.85,0.81,5921
2020-10-6/15:11:41,brain_tumor1,1,Auto,0,1,None,Naive-Bayes,24,100,0,0,1,0,0,0,0,24,1,0,1,1,1,1,1,1,11,36.67,19,63.33,0.29,0.25,0.5,77.72,123.47,30,0.37,0.03,0.91,0.37,0.35,0.37,0.67,0.67,5921
2020-10-6/15:12:12,brain_tumor1,1,Auto,0,1,None,SVM,24,100,0,0,1,0.24,0.32,75.11,79.12,24,1,0,1,1,1,1,1,1,25,83.33,5,16.67,0.74,0.25,0.33,75.67,80.12,30,0.83,0.01,0.97,0.83,0.88,0.8,0.99,0.96,5921
2021-3-3/2:45:32,brain_tumor1,1,Auto,0,2,CFS,C4.5,30,100,0,0,1,0,0,0,0,30,1,0,1,1,1,1,1,1,18,60,12,40,0.41,0.16,0.4,50.48,100.55,30,0.6,0.04,0.8,0.6,0.67,0.54,0.78,0.67,122
2021-3-3/2:45:37,brain_tumor1,1,Auto,0,2,CFS,IB1,30,100,0,0,1,0.05,0.06,14.42,14.36,30,1,0,1,1,1,1,1,1,23,76.67,7,23.33,0.64,0.13,0.29,39.66,72.54,30,0.77,0.02,0.92,0.77,0.82,0.72,0.87,0.85,122
2021-3-3/2:45:35,brain_tumor1,1,Auto,0,2,CFS,Naive-Bayes,30,100,0,0,1,0,0,0,0,30,1,0,1,1,1,1,1,1,25,83.33,5,16.67,0.66,0.07,0.26,21.03,64.9,30,0.83,0.23,NaN,0.83,NaN,NaN,0.87,0.87,122
2021-3-3/2:45:41,brain_tumor1,1,Auto,0,2,CFS,SVM,30,100,0,0,1,0.24,0.32,75.72,79.44,30,1,0,1,1,1,1,1,1,27,90,3,10,0.83,0.24,0.32,76.98,81.01,30,0.9,0.01,0.94,0.9,0.92,0.86,0.98,0.94,122
2021-3-3/2:29:28,brain_tumor1,1,Auto,0,2,None,C4.5,30,100,0,0,1,0,0,0,0,30,1,0,1,1,1,1,1,1,19,63.33,11,36.67,0.46,0.15,0.38,46.27,96.27,30,0.63,0.03,0.88,0.63,0.72,0.61,0.8,0.73,5921
2021-3-3/2:29:44,brain_tumor1,1,Auto,0,2,None,IB1,30,100,0,0,1,0.05,0.06,14.42,14.36,30,1,0,1,1,1,1,1,1,27,90,3,10,0.82,0.08,0.19,25.24,48.71,30,0.9,0.06,0.93,0.9,0.92,0.83,0.92,0.91,5921
2021-3-3/2:29:39,brain_tumor1,1,Auto,0,2,None,Naive-Bayes,30,100,0,0,1,0,0,0,0,30,1,0,1,1,1,1,1,1,25,83.33,5,16.67,0.69,0.07,0.26,21.03,64.9,30,0.83,0.13,0.83,0.83,0.83,0.7,0.85,0.78,5921
2021-3-3/2:29:55,brain_tumor1,1,Auto,0,2,None,SVM,30,100,0,0,1,0.24,0.32,75.72,79.49,30,1,0,1,1,1,1,1,1,29,96.67,1,3.33,0.94,0.24,0.32,76.56,80.49,30,0.97,0.06,NaN,0.97,NaN,NaN,0.95,0.93,5921
2020-9-29/11:49:14,brain_tumor1,1,Auto,20,0,CFS,C4.5,110,99.1,1,0.9,0.99,0.01,0.06,2.81,16.87,111,0.99,0.01,0.99,0.99,0.99,0.99,0.99,0.98,24,80,6,20,0.58,0.08,0.28,29.65,70.4,30,0.8,0.29,NaN,0.8,NaN,NaN,0.76,0.69,227
