Time,Dataset,Repetition,SmoteMin,SmoteMax,RUS,Filter,Classifier,Tr_crIns,Tr_crIns%,Tr_incrIns,Tr_incrIns%,Tr_Kappa,Tr_meanAbs,Tr_rootMeanSq,Tr_relAbs,Tr_rootRelSq,Tr_NumIns,Tr_WA_TP,Tr_WA_FP,Tr_WA_Acc,Tr_WA_Recall,Tr_WA_F_M,Tr_WA_MCC,Tr_WA_ROC,Tr_WA_PRC,Te_crIns,Te_crIns%,Te_incrIns,Te_incrIns%,Te_Kappa,Te_meanAbs,Te_rootMeanSq,Te_relAbs,Te_rootRelSq,Te_NumIns,Te_WA_TP,Te_WA_FP,Te_WA_Acc,Te_WA_Recall,Te_WA_F_M,Te_WA_MCC,Te_WA_ROC,Te_WA_PRC,carToRetainWithClass
2021-3-3/2:51:31,brain_tumor2,1,Auto,0,2,None,IB1,38,100,0,0,1,0.04,0.04,9.55,9.54,38,1,0,1,1,1,1,1,1,7,43.75,9,56.25,0.25,0.29,0.51,76.77,115.84,16,0.44,0.19,0.5,0.44,0.41,0.26,0.62,0.38,10368
2021-3-3/2:51:25,brain_tumor2,1,Auto,0,2,None,Naive-Bayes,38,100,0,0,1,0,0,0,0,38,1,0,1,1,1,1,1,1,9,56.25,7,43.75,0.4,0.22,0.47,57.87,107.05,16,0.56,0.15,NaN,0.56,NaN,NaN,0.71,0.47,10368
2021-3-3/2:51:46,brain_tumor2,1,Auto,0,2,None,SVM,38,100,0,0,1,0.25,0.31,66.83,72.11,38,1,0,1,1,1,1,1,1,10,62.5,6,37.5,0.49,0.28,0.36,74.41,82.04,16,0.63,0.13,0.77,0.63,0.61,0.55,0.88,0.65,10368
2020-9-29/17:11:18,brain_tumor2,1,Auto,20,0,CFS,C4.5,40,100,0,0,1,0,0,0,0,40,1,0,1,1,1,1,1,1,8,50,8,50,0.3,0.25,0.5,66.17,114.3,16,0.5,0.16,0.52,0.5,0.5,0.35,0.67,0.45,144
2020-9-29/17:11:20,brain_tumor2,1,Auto,20,0,CFS,IB1,40,100,0,0,1,0.03,0.04,9.15,9.12,40,1,0,1,1,1,1,1,1,10,62.5,6,37.5,0.5,0.2,0.41,54.14,94.8,16,0.63,0.11,0.75,0.63,0.6,0.55,0.76,0.54,144
2020-9-29/17:11:19,brain_tumor2,1,Auto,20,0,CFS,Naive-Bayes,40,100,0,0,1,0,0,0,0,40,1,0,1,1,1,1,1,1,11,68.75,5,31.25,0.57,0.16,0.4,41.35,90.36,16,0.69,0.1,0.79,0.69,0.68,0.62,0.86,0.74,144
2020-9-29/17:11:21,brain_tumor2,1,Auto,20,0,CFS,SVM,40,100,0,0,1,0.25,0.31,67.07,72.25,40,1,0,1,1,1,1,1,1,11,68.75,5,31.25,0.58,0.28,0.35,73.06,80.26,16,0.69,0.1,0.82,0.69,0.66,0.63,0.91,0.71,144
2020-9-29/16:52:42,brain_tumor2,1,Auto,20,0,None,C4.5,40,100,0,0,1,0,0,0,0,40,1,0,1,1,1,1,1,1,7,43.75,9,56.25,0.22,0.28,0.53,74.44,121.23,16,0.44,0.24,0.5,0.44,0.46,0.23,0.6,0.43,10368
2020-9-29/16:53:16,brain_tumor2,1,Auto,20,0,None,IB1,40,100,0,0,1,0.03,0.04,9.15,9.12,40,1,0,1,1,1,1,1,1,11,68.75,5,31.25,0.57,0.18,0.38,46.62,86.62,16,0.69,0.1,0.81,0.69,0.69,0.63,0.79,0.61,10368
2020-9-29/16:53:14,brain_tumor2,1,Auto,20,0,None,Naive-Bayes,40,100,0,0,1,0,0,0,0,40,1,0,1,1,1,1,1,1,9,56.25,7,43.75,0.4,0.22,0.47,57.89,106.91,16,0.56,0.15,NaN,0.56,NaN,NaN,0.71,0.47,10368
2020-9-29/16:53:48,brain_tumor2,1,Auto,20,0,None,SVM,40,100,0,0,1,0.25,0.31,67.07,72.25,40,1,0,1,1,1,1,1,1,10,62.5,6,37.5,0.49,0.28,0.36,74.44,81.93,16,0.63,0.13,0.77,0.63,0.61,0.55,0.88,0.65,10368
2020-9-29/17:36:18,brain_tumor2,1,Auto,40,0,CFS,C4.5,47,100,0,0,1,0,0,0,0,47,1,0,1,1,1,1,1,1,4,25,12,75,-0.02,0.38,0.61,97.76,137.2,16,0.25,0.26,0.28,0.25,0.26,0,0.49,0.29,181
2020-9-29/17:36:20,brain_tumor2,1,Auto,40,0,CFS,IB1,47,100,0,0,1,0.03,0.03,7.99,7.92,47,1,0,1,1,1,1,1,1,11,68.75,5,31.25,0.58,0.17,0.38,45.21,85.36,16,0.69,0.09,0.77,0.69,0.68,0.62,0.8,0.6,181
2020-9-29/17:36:20,brain_tumor2,1,Auto,40,0,CFS,Naive-Bayes,47,100,0,0,1,0,0,0,0,47,1,0,1,1,1,1,1,1,11,68.75,5,31.25,0.57,0.16,0.4,40.73,88.56,16,0.69,0.1,0.79,0.69,0.68,0.62,0.86,0.71,181
2020-9-29/17:36:22,brain_tumor2,1,Auto,40,0,CFS,SVM,47,100,0,0,1,0.25,0.31,67.9,72.62,47,1,0,1,1,1,1,1,1,9,56.25,7,43.75,0.42,0.29,0.37,74.68,81.91,16,0.56,0.15,0.76,0.56,0.52,0.47,0.85,0.62,181
2020-9-29/17:12:30,brain_tumor2,1,Auto,40,0,None,C4.5,47,100,0,0,1,0,0,0,0,47,1,0,1,1,1,1,1,1,7,43.75,9,56.25,0.22,0.28,0.53,73.32,118.82,16,0.44,0.24,0.5,0.44,0.46,0.23,0.6,0.43,10368
2020-9-29/17:13:5,brain_tumor2,1,Auto,40,0,None,IB1,47,100,0,0,1,0.03,0.03,7.99,7.92,47,1,0,1,1,1,1,1,1,10,62.5,6,37.5,0.49,0.2,0.42,52.72,93.44,16,0.63,0.11,0.73,0.63,0.62,0.55,0.76,0.54,10368
2020-9-29/17:13:3,brain_tumor2,1,Auto,40,0,None,Naive-Bayes,47,100,0,0,1,0,0,0,0,47,1,0,1,1,1,1,1,1,9,56.25,7,43.75,0.4,0.22,0.47,57.03,104.79,16,0.56,0.15,NaN,0.56,NaN,NaN,0.71,0.47,10368
2020-9-29/17:13:37,brain_tumor2,1,Auto,40,0,None,SVM,47,100,0,0,1,0.25,0.31,67.9,72.73,47,1,0,1,1,1,1,1,1,10,62.5,6,37.5,0.49,0.28,0.36,73.32,80.3,16,0.63,0.13,0.77,0.63,0.61,0.55,0.88,0.65,10368
2020-9-29/18:20:10,brain_tumor2,1,Auto,100,0,CFS,C4.5,58,100,0,0,1,0,0,0,0,58,1,0,1,1,1,1,1,1,10,62.5,6,37.5,0.48,0.19,0.43,48.44,95.04,16,0.63,0.17,0.63,0.63,0.63,0.45,0.72,0.6,257
2020-9-29/18:20:13,brain_tumor2,1,Auto,100,0,CFS,IB1,58,100,0,0,1,0.02,0.03,6.76,6.61,58,1,0,1,1,1,1,1,1,9,56.25,7,43.75,0.42,0.23,0.45,59.11,99.47,16,0.56,0.13,0.74,0.56,0.51,0.47,0.71,0.49,257
2020-9-29/18:20:12,brain_tumor2,1,Auto,100,0,CFS,Naive-Bayes,58,100,0,0,1,0,0,0,0,58,1,0,1,1,1,1,1,1,9,56.25,7,43.75,0.4,0.22,0.47,56.51,102.65,16,0.56,0.15,NaN,0.56,NaN,NaN,0.85,0.68,257
2020-9-29/18:20:14,brain_tumor2,1,Auto,100,0,CFS,SVM,58,100,0,0,1,0.25,0.31,69.85,73.82,58,1,0,1,1,1,1,1,1,9,56.25,7,43.75,0.42,0.29,0.37,74,80.25,16,0.56,0.13,0.69,0.56,0.55,0.46,0.86,0.6,257
2020-9-29/17:37:40,brain_tumor2,1,Auto,100,0,None,C4.5,58,100,0,0,1,0,0,0,0,58,1,0,1,1,1,1,1,1,7,43.75,9,56.25,0.24,0.28,0.53,72.66,116.4,16,0.44,0.2,0.44,0.44,0.43,0.23,0.62,0.38,10368
2020-9-29/17:38:16,brain_tumor2,1,Auto,100,0,None,IB1,58,100,0,0,1,0.02,0.03,6.76,6.61,58,1,0,1,1,1,1,1,1,10,62.5,6,37.5,0.49,0.2,0.42,51.56,92.12,16,0.63,0.13,0.78,0.63,0.63,0.56,0.75,0.55,10368
2020-9-29/17:38:14,brain_tumor2,1,Auto,100,0,None,Naive-Bayes,58,100,0,0,1,0,0,0,0,58,1,0,1,1,1,1,1,1,9,56.25,7,43.75,0.4,0.22,0.47,56.51,102.65,16,0.56,0.15,NaN,0.56,NaN,NaN,0.71,0.47,10368
2020-9-29/17:38:49,brain_tumor2,1,Auto,100,0,None,SVM,58,100,0,0,1,0.25,0.31,69.85,73.82,58,1,0,1,1,1,1,1,1,10,62.5,6,37.5,0.49,0.28,0.36,72.66,78.67,16,0.63,0.13,0.77,0.63,0.61,0.55,0.88,0.65,10368
2020-9-29/18:42:55,cll,1,0,0,0,CFS,C4.5,72,97.3,2,2.7,0.95,0.03,0.12,8.09,28.53,74,0.97,0.02,0.97,0.97,0.97,0.95,0.99,0.98,19,51.35,18,48.65,0.18,0.32,0.56,81.76,123.23,37,0.51,0.34,0.51,0.51,0.51,0.17,0.59,0.46,116
2020-9-29/18:42:57,cll,1,0,0,0,CFS,IB1,74,100,0,0,1,0.02,0.02,4.52,4.21,74,1,0,1,1,1,1,1,1,26,70.27,11,29.73,0.5,0.21,0.44,52.3,96.57,37,0.7,0.23,0.72,0.7,0.7,0.49,0.74,0.62,116
2020-9-29/18:42:56,cll,1,0,0,0,CFS,Naive-Bayes,73,98.65,1,1.35,0.98,0.01,0.09,2.36,21.73,74,0.99,0.01,0.99,0.99,0.99,0.97,1,1,21,56.76,16,43.24,0.25,0.29,0.54,72.64,118.61,37,0.57,0.33,0.62,0.57,0.56,0.27,0.67,0.59,116
2020-9-29/18:42:58,cll,1,0,0,0,CFS,SVM,74,100,0,0,1,0.22,0.27,58.01,62.38,74,1,0,1,1,1,1,1,1,25,67.57,12,32.43,0.46,0.29,0.38,74.07,84.51,37,0.68,0.25,0.69,0.68,0.68,0.43,0.74,0.64,116
2020-9-29/18:22:54,cll,1,0,0,0,None,C4.5,74,100,0,0,1,0,0,0,0,74,1,0,1,1,1,1,1,1,23,62.16,14,37.84,0.37,0.25,0.5,63.49,111.03,37,0.62,0.26,0.64,0.62,0.63,0.36,0.68,0.54,11341
2020-9-29/18:23:32,cll,1,0,0,0,None,IB1,74,100,0,0,1,0.02,0.02,4.52,4.21,74,1,0,1,1,1,1,1,1,20,54.05,17,45.95,0.21,0.31,0.54,78.45,120.02,37,0.54,0.37,0.56,0.54,0.54,0.19,0.58,0.49,11341
2020-9-29/18:23:29,cll,1,0,0,0,None,Naive-Bayes,74,100,0,0,1,0,0,0,0,74,1,0,1,1,1,1,1,1,22,59.46,15,40.54,0.33,0.27,0.52,68.72,115.02,37,0.59,0.28,0.65,0.59,0.59,0.34,0.68,0.56,11341
2020-9-29/18:23:51,cll,1,0,0,0,None,SVM,74,100,0,0,1,0.22,0.27,58.01,62.38,74,1,0,1,1,1,1,1,1,26,70.27,11,29.73,0.49,0.31,0.4,77.09,87.92,37,0.7,0.24,0.72,0.7,0.7,0.48,0.73,0.62,11341
2020-10-5/22:34:41,cll,1,0,0,1,CFS,C4.5,18,100,0,0,1,0,0,0,0,18,1,0,1,1,1,1,1,1,15,40.54,22,59.46,0.06,0.4,0.63,89.19,133.56,37,0.41,0.34,0.43,0.41,0.41,0.06,0.53,0.42,90
2020-10-5/22:34:43,cll,1,0,0,1,CFS,IB1,18,100,0,0,1,0.06,0.07,14.29,14.29,18,1,0,1,1,1,1,1,1,17,45.95,20,54.05,0.05,0.37,0.56,83.78,118.76,37,0.46,0.44,0.45,0.46,0.44,0.04,0.51,0.46,90
2020-10-5/22:34:42,cll,1,0,0,1,CFS,Naive-Bayes,18,100,0,0,1,0,0,0,0,18,1,0,1,1,1,1,1,1,16,43.24,21,56.76,0.19,0.38,0.62,85.14,130.49,37,0.43,0.23,0.5,0.43,0.41,0.18,0.68,0.5,90
2020-10-5/22:34:44,cll,1,0,0,1,CFS,SVM,18,100,0,0,1,0.22,0.27,50,57.73,18,1,0,1,1,1,1,1,1,20,54.05,17,45.95,0.22,0.35,0.45,78.38,94.92,37,0.54,0.36,0.55,0.54,0.54,0.19,0.59,0.51,90
2020-10-5/22:23:2,cll,1,0,0,1,None,C4.5,18,100,0,0,1,0,0,0,0,18,1,0,1,1,1,1,1,1,19,51.35,18,48.65,0.27,0.32,0.57,72.97,120.81,37,0.51,0.25,0.56,0.51,0.51,0.24,0.63,0.49,11341
2020-10-5/22:23:36,cll,1,0,0,1,None,IB1,18,100,0,0,1,0.06,0.07,14.29,14.29,18,1,0,1,1,1,1,1,1,23,62.16,14,37.84,0.32,0.28,0.47,62.93,99.67,37,0.62,0.34,0.67,0.62,0.59,0.35,0.64,0.54,11341
2020-10-5/22:23:35,cll,1,0,0,1,None,Naive-Bayes,18,100,0,0,1,0,0,0,0,18,1,0,1,1,1,1,1,1,23,62.16,14,37.84,0.39,0.25,0.5,56.76,106.54,37,0.62,0.26,0.64,0.62,0.62,0.36,0.68,0.57,11341
2020-10-5/22:23:55,cll,1,0,0,1,None,SVM,18,100,0,0,1,0.22,0.27,50,57.73,18,1,0,1,1,1,1,1,1,24,64.86,13,35.14,0.4,0.31,0.4,68.92,84.36,37,0.65,0.28,0.66,0.65,0.64,0.38,0.7,0.57,11341
2020-9-29/20:34:51,cll,1,20,0,0,CFS,C4.5,74,100,0,0,1,0,0,0,0,74,1,0,1,1,1,1,1,1,20,54.05,17,45.95,0.23,0.31,0.55,76.68,122.67,37,0.54,0.33,0.54,0.54,0.54,0.21,0.61,0.47,134
2020-9-29/20:34:53,cll,1,20,0,0,CFS,IB1,74,100,0,0,1,0.02,0.02,4.44,4.17,74,1,0,1,1,1,1,1,1,26,70.27,11,29.73,0.49,0.21,0.44,52.02,96.82,37,0.7,0.24,0.72,0.7,0.7,0.48,0.73,0.62,134
2020-9-29/20:34:52,cll,1,20,0,0,CFS,Naive-Bayes,73,98.65,1,1.35,0.98,0.01,0.09,2.25,20.89,74,0.99,0.01,0.99,0.99,0.99,0.98,1,1,22,59.46,15,40.54,0.3,0.27,0.51,66.37,113.18,37,0.59,0.3,0.65,0.59,0.58,0.32,0.68,0.6,134
2020-9-29/20:34:54,cll,1,20,0,0,CFS,SVM,74,100,0,0,1,0.22,0.27,57.04,61.83,74,1,0,1,1,1,1,1,1,28,75.68,9,24.32,0.59,0.28,0.36,69.17,79.34,37,0.76,0.18,0.77,0.76,0.76,0.58,0.81,0.71,134
2020-9-29/20:10:5,cll,1,20,0,0,None,C4.5,74,100,0,0,1,0,0,0,0,74,1,0,1,1,1,1,1,1,23,62.16,14,37.84,0.37,0.25,0.5,63.15,111.32,37,0.62,0.26,0.64,0.62,0.63,0.36,0.68,0.54,11341
2020-9-29/20:10:42,cll,1,20,0,0,None,IB1,74,100,0,0,1,0.02,0.02,4.44,4.17,74,1,0,1,1,1,1,1,1,20,54.05,17,45.95,0.21,0.31,0.54,78.03,120.32,37,0.54,0.37,0.56,0.54,0.54,0.19,0.58,0.49,11341
2020-9-29/20:10:39,cll,1,20,0,0,None,Naive-Bayes,74,100,0,0,1,0,0,0,0,74,1,0,1,1,1,1,1,1,22,59.46,15,40.54,0.33,0.27,0.52,67.64,115.17,37,0.59,0.28,0.65,0.59,0.59,0.34,0.7,0.6,11341
2020-9-29/20:11:1,cll,1,20,0,0,None,SVM,74,100,0,0,1,0.22,0.27,57.04,61.83,74,1,0,1,1,1,1,1,1,26,70.27,11,29.73,0.49,0.31,0.4,76.68,88.14,37,0.7,0.24,0.72,0.7,0.7,0.48,0.73,0.62,11341
2020-10-5/23:6:59,cll,1,20,0,1,CFS,C4.5,20,100,0,0,1,0,0,0,0,20,1,0,1,1,1,1,1,1,21,56.76,16,43.24,0.27,0.29,0.54,64.67,113.46,37,0.57,0.35,0.54,0.57,0.53,0.21,0.61,0.52,145
2020-10-5/23:7:1,cll,1,20,0,1,CFS,IB1,20,100,0,0,1,0.06,0.06,13.07,13.06,20,1,0,1,1,1,1,1,1,23,62.16,14,37.84,0.37,0.28,0.47,62.21,99.82,37,0.62,0.29,0.62,0.62,0.62,0.34,0.67,0.55,145
2020-10-5/23:7:0,cll,1,20,0,1,CFS,Naive-Bayes,20,100,0,0,1,0,0,0,0,20,1,0,1,1,1,1,1,1,20,54.05,17,45.95,0.29,0.31,0.55,68.72,116.09,37,0.54,0.25,0.56,0.54,0.49,0.28,0.71,0.56,145
2020-10-5/23:7:2,cll,1,20,0,1,CFS,SVM,20,100,0,0,1,0.22,0.27,50.11,57.81,20,1,0,1,1,1,1,1,1,23,62.16,14,37.84,0.37,0.32,0.41,71.41,87.17,37,0.62,0.27,0.62,0.62,0.6,0.36,0.7,0.56,145
2020-10-5/22:35:44,cll,1,20,0,1,None,C4.5,20,100,0,0,1,0,0,0,0,20,1,0,1,1,1,1,1,1,19,51.35,18,48.65,0.19,0.32,0.57,72.76,120.34,37,0.51,0.33,0.49,0.51,0.49,0.18,0.59,0.46,11341
2020-10-5/22:36:19,cll,1,20,0,1,None,IB1,20,100,0,0,1,0.06,0.06,13.07,13.06,20,1,0,1,1,1,1,1,1,21,56.76,16,43.24,0.24,0.31,0.5,69.24,106.6,37,0.57,0.36,0.58,0.57,0.54,0.23,0.6,0.49,11341
2020-10-5/22:36:17,cll,1,20,0,1,None,Naive-Bayes,20,100,0,0,1,0,0,0,0,20,1,0,1,1,1,1,1,1,20,54.05,17,45.95,0.25,0.31,0.55,68.72,116.95,37,0.54,0.33,0.5,0.54,0.51,0.2,0.61,0.49,11341
2020-10-5/22:36:38,cll,1,20,0,1,None,SVM,20,100,0,0,1,0.22,0.27,50.11,57.81,20,1,0,1,1,1,1,1,1,25,67.57,12,32.43,0.45,0.3,0.39,67.37,82.43,37,0.68,0.26,0.68,0.68,0.67,0.43,0.72,0.6,11341
2020-9-29/21:10:28,cll,1,20,20,0,CFS,C4.5,79,97.53,2,2.47,0.96,0.03,0.12,7.42,27.32,81,0.97,0.02,0.97,0.97,0.97,0.95,0.99,0.98,17,45.95,20,54.05,0.09,0.35,0.58,87.57,127.35,37,0.46,0.39,0.46,0.46,0.46,0.08,0.57,0.45,154
2020-9-29/21:10:30,cll,1,20,20,0,CFS,IB1,81,100,0,0,1,0.02,0.02,4.15,3.86,81,1,0,1,1,1,1,1,1,25,67.57,12,32.43,0.45,0.22,0.46,56,100.11,37,0.68,0.25,0.7,0.68,0.68,0.44,0.71,0.59,154
2020-9-29/21:10:30,cll,1,20,20,0,CFS,Naive-Bayes,80,98.77,1,1.23,0.98,0.01,0.1,2.86,21.83,81,0.99,0.01,0.99,0.99,0.99,0.98,1,1,24,64.86,13,35.14,0.41,0.23,0.47,56.37,102.29,37,0.65,0.25,0.69,0.65,0.65,0.42,0.72,0.63,154
2020-9-29/21:10:32,cll,1,20,20,0,CFS,SVM,81,100,0,0,1,0.22,0.27,58.09,62.41,81,1,0,1,1,1,1,1,1,28,75.68,9,24.32,0.59,0.28,0.36,68.95,78.43,37,0.76,0.18,0.77,0.76,0.76,0.58,0.81,0.71,154
2020-9-29/20:36:45,cll,1,20,20,0,None,C4.5,80,98.77,1,1.23,0.98,0.02,0.09,4.2,20.54,81,0.99,0.01,0.99,0.99,0.99,0.98,0.99,0.98,22,59.46,15,40.54,0.32,0.27,0.51,67.68,112.79,37,0.59,0.31,0.6,0.59,0.6,0.29,0.65,0.52,11341
2020-9-29/20:37:23,cll,1,20,20,0,None,IB1,81,100,0,0,1,0.02,0.02,4.15,3.86,81,1,0,1,1,1,1,1,1,19,51.35,18,48.65,0.18,0.33,0.56,82.01,122.58,37,0.51,0.37,0.55,0.51,0.52,0.16,0.57,0.48,11341
2020-9-29/20:37:20,cll,1,20,20,0,None,Naive-Bayes,81,100,0,0,1,0,0,0,0,81,1,0,1,1,1,1,1,1,26,70.27,11,29.73,0.51,0.2,0.45,49.46,97.54,37,0.7,0.2,0.76,0.7,0.7,0.54,0.75,0.66,11341
2020-9-29/20:37:42,cll,1,20,20,0,None,SVM,81,100,0,0,1,0.22,0.27,58.09,62.41,81,1,0,1,1,1,1,1,1,26,70.27,11,29.73,0.49,0.31,0.4,76.45,87.13,37,0.7,0.24,0.72,0.7,0.7,0.48,0.73,0.62,11341
2020-9-29/21:50:15,cll,1,20,40,0,CFS,C4.5,86,97.73,2,2.27,0.96,0.03,0.11,7.02,26.58,88,0.98,0.02,0.98,0.98,0.98,0.96,0.99,0.98,17,45.95,20,54.05,0.11,0.37,0.59,91.02,128.44,37,0.46,0.38,0.46,0.46,0.46,0.08,0.5,0.42,159
2020-9-29/21:50:17,cll,1,20,40,0,CFS,IB1,88,100,0,0,1,0.01,0.02,3.93,3.61,88,1,0,1,1,1,1,1,1,23,62.16,14,37.84,0.36,0.26,0.49,64.37,106.78,37,0.62,0.29,0.65,0.62,0.63,0.34,0.66,0.55,159
2020-9-29/21:50:17,cll,1,20,40,0,CFS,Naive-Bayes,87,98.86,1,1.14,0.98,0.01,0.09,2.03,20.22,88,0.99,0.01,0.99,0.99,0.99,0.98,1,1,21,56.76,16,43.24,0.26,0.28,0.53,70.33,113.81,37,0.57,0.33,0.61,0.57,0.57,0.27,0.69,0.61,159
2020-9-29/21:50:18,cll,1,20,40,0,CFS,SVM,88,100,0,0,1,0.22,0.27,59.61,63.24,88,1,0,1,1,1,1,1,1,27,72.97,10,27.03,0.55,0.29,0.38,73.25,82.61,37,0.73,0.21,0.74,0.73,0.73,0.53,0.76,0.66,159
2020-9-29/21:12:31,cll,1,20,40,0,None,C4.5,87,98.86,1,1.14,0.98,0.01,0.09,3.97,20,88,0.99,0.01,0.99,0.99,0.99,0.98,0.99,0.98,22,59.46,15,40.54,0.32,0.27,0.52,67.47,111.36,37,0.59,0.31,0.6,0.59,0.6,0.29,0.65,0.52,11341
2020-9-29/21:13:8,cll,1,20,40,0,None,IB1,88,100,0,0,1,0.01,0.02,3.93,3.61,88,1,0,1,1,1,1,1,1,21,56.76,16,43.24,0.29,0.29,0.53,73.04,114.14,37,0.57,0.3,0.63,0.57,0.56,0.3,0.63,0.53,11341
2020-9-29/21:13:5,cll,1,20,40,0,None,Naive-Bayes,88,100,0,0,1,0,0,0,0,88,1,0,1,1,1,1,1,1,25,67.57,12,32.43,0.46,0.22,0.47,53.82,100.48,37,0.68,0.23,0.71,0.68,0.67,0.46,0.73,0.62,11341
2020-9-29/21:13:28,cll,1,20,40,0,None,SVM,88,100,0,0,1,0.22,0.27,59.61,63.24,88,1,0,1,1,1,1,1,1,26,70.27,11,29.73,0.49,0.31,0.4,76.24,85.94,37,0.7,0.24,0.72,0.7,0.7,0.48,0.73,0.62,11341
2020-9-29/22:22:38,cll,1,20,100,0,CFS,C4.5,107,98.17,2,1.83,0.96,0.02,0.11,6.72,26.03,109,0.98,0.02,0.98,0.98,0.98,0.97,0.99,0.98,17,45.95,20,54.05,0.11,0.36,0.59,90.22,122.62,37,0.46,0.38,0.47,0.46,0.46,0.08,0.5,0.43,159
2020-9-29/22:22:40,cll,1,20,100,0,CFS,IB1,109,100,0,0,1,0.01,0.01,3.52,3.08,109,1,0,1,1,1,1,1,1,25,67.57,12,32.43,0.46,0.22,0.46,55.02,94.98,37,0.68,0.23,0.73,0.68,0.68,0.48,0.72,0.61,159
2020-9-29/22:22:39,cll,1,20,100,0,CFS,Naive-Bayes,108,99.08,1,0.92,0.98,0.01,0.08,1.81,19.09,109,0.99,0.02,0.99,0.99,0.99,0.98,1,1,26,70.27,11,29.73,0.49,0.2,0.45,50.7,92.21,37,0.7,0.24,0.72,0.7,0.7,0.48,0.74,0.67,159
2020-9-29/22:22:41,cll,1,20,100,0,CFS,SVM,109,100,0,0,1,0.22,0.27,65.63,66.43,109,1,0,1,1,1,1,1,1,28,75.68,9,24.32,0.59,0.28,0.36,68.37,74.09,37,0.76,0.2,0.77,0.76,0.76,0.57,0.8,0.7,159
2020-9-29/21:52:35,cll,1,20,100,0,None,C4.5,108,99.08,1,0.92,0.98,0.01,0.08,3.56,18.94,109,0.99,0.02,0.99,0.99,0.99,0.98,0.99,0.98,22,59.46,15,40.54,0.32,0.27,0.52,67.01,106.96,37,0.59,0.31,0.6,0.59,0.6,0.29,0.65,0.52,11341
2020-9-29/21:53:9,cll,1,20,100,0,None,IB1,109,100,0,0,1,0.01,0.01,3.52,3.08,109,1,0,1,1,1,1,1,1,22,59.46,15,40.54,0.34,0.27,0.51,68.03,106.19,37,0.59,0.27,0.67,0.59,0.58,0.36,0.66,0.55,11341
2020-9-29/21:53:5,cll,1,20,100,0,None,Naive-Bayes,109,100,0,0,1,0,0,0,0,109,1,0,1,1,1,1,1,1,24,64.86,13,35.14,0.4,0.23,0.48,57.96,100.18,37,0.65,0.28,0.67,0.65,0.65,0.39,0.69,0.59,11341
2020-9-29/21:53:28,cll,1,20,100,0,None,SVM,109,100,0,0,1,0.22,0.27,65.63,66.43,109,1,0,1,1,1,1,1,1,26,70.27,11,29.73,0.49,0.31,0.4,75.8,82.32,37,0.7,0.24,0.72,0.7,0.7,0.48,0.73,0.62,11341
2020-9-29/22:52:24,cll,1,40,0,0,CFS,C4.5,74,98.67,1,1.33,0.98,0.01,0.08,3,17.36,75,0.99,0.01,0.99,0.99,0.99,0.98,1,1,22,59.46,15,40.54,0.3,0.28,0.51,70.27,113.59,37,0.59,0.31,0.6,0.59,0.58,0.31,0.63,0.5,136
2020-9-29/22:52:26,cll,1,40,0,0,CFS,IB1,75,100,0,0,1,0.02,0.02,4.33,4.09,75,1,0,1,1,1,1,1,1,27,72.97,10,27.03,0.55,0.19,0.42,47.38,92.41,37,0.73,0.21,0.74,0.73,0.73,0.53,0.76,0.65,136
2020-9-29/22:52:25,cll,1,40,0,0,CFS,Naive-Bayes,74,98.67,1,1.33,0.98,0.01,0.09,2.33,21.27,75,0.99,0.01,0.99,0.99,0.99,0.98,1,1,26,70.27,11,29.73,0.5,0.2,0.44,50.67,98.41,37,0.7,0.21,0.74,0.7,0.71,0.51,0.72,0.65,136
2020-9-29/22:52:27,cll,1,40,0,0,CFS,SVM,75,100,0,0,1,0.22,0.27,56.26,61.39,75,1,0,1,1,1,1,1,1,29,78.38,8,21.62,0.64,0.27,0.35,67.28,77.51,37,0.78,0.16,0.79,0.78,0.79,0.62,0.82,0.73,136
2020-9-29/22:24:27,cll,1,40,0,0,None,C4.5,75,100,0,0,1,0,0,0,0,75,1,0,1,1,1,1,1,1,23,62.16,14,37.84,0.37,0.25,0.5,62.79,111.4,37,0.62,0.26,0.64,0.62,0.63,0.36,0.68,0.54,11341
2020-9-29/22:25:5,cll,1,40,0,0,None,IB1,75,100,0,0,1,0.02,0.02,4.33,4.09,75,1,0,1,1,1,1,1,1,20,54.05,17,45.95,0.21,0.31,0.54,77.57,120.44,37,0.54,0.37,0.56,0.54,0.54,0.19,0.58,0.49,11341
2020-9-29/22:25:2,cll,1,40,0,0,None,Naive-Bayes,75,100,0,0,1,0,0,0,0,75,1,0,1,1,1,1,1,1,22,59.46,15,40.54,0.33,0.27,0.51,66.2,113.26,37,0.59,0.27,0.67,0.59,0.59,0.35,0.7,0.61,11341
2020-9-29/22:25:24,cll,1,40,0,0,None,SVM,75,100,0,0,1,0.22,0.27,56.26,61.39,75,1,0,1,1,1,1,1,1,26,70.27,11,29.73,0.49,0.31,0.4,76.25,88.21,37,0.7,0.24,0.72,0.7,0.7,0.48,0.73,0.62,11341
2020-10-5/23:20:38,cll,1,40,0,1,CFS,C4.5,23,100,0,0,1,0,0,0,0,23,1,0,1,1,1,1,1,1,15,40.54,22,59.46,0.1,0.4,0.63,88.96,133.11,37,0.41,0.29,0.44,0.41,0.4,0.1,0.56,0.43,95
